Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
4136;Schwein Kommensale;Ho2;4;13285;18573;19611;19987;15143;15188;50434;59083;27064;28037;19799
4310;Schwein Kommensale;Ho2;6;21;46;56;0;6;2;678;636;1032;4396;51
4315;Schwein Kommensale;Ho2;29;10873;12032;33286;28010;5912;7789;8996;17191;4517;5775;9935
4444;Schwein Kommensale;Ho2;;12676;11797;7333;6548;2882;1904;12696;15928;12497;12921;12147
4445;Schwein Kommensale;Ho2;2;17352;18249;6100;6640;12896;12748;36414;48563;21858;25444;17801
4732;Schwein Kommensale;Ho2;2;16124;17097;15371;16200;21097;21781;12998;33970;26690;27775;19097
5282;Mensch EPEC;Ho2;2;7670;7871;10412;9785;17340;16458;7549;15817;10461;11200;10437
5540;HFEC;Ho2;8;13456;10868;8106;11378;7026;7564;20830;17268;26529;26978;12417
5543;HFEC;Ho2;2;21999;26907;17503;17372;20302;23428;68458;66989;27554;28592;25168
5551;HFEC;Ho2;;2756;1629;1059;1260;2543;2885;1701;1485;2603;1438;1665
5554;HFEC;Ho2;8;9771;12193;20483;20929;10695;11140;32867;22923;27847;29164;20706
5631;Mensch EPEC;Ho2;2;30821;33454;21565;24129;22435;24382;64532;66818;33311;33734;32066
5651;Mensch EPEC;Ho2;8;12257;12074;18058;17384;7309;8864;35480;26205;29519;30004;17721
5695;Mensch ETEC;Ho2;9;58309;56034;14268;15007;13895;12911;18152;14132;14769;17776;14888
5696;Mensch ETEC;Ho2;9;54234;68193;13630;19497;10196;9912;1738;1560;3232;2788;10054
5981;Schwein EPEC;Ho2;2;32337;31456;33498;32658;17328;24282;69745;65403;33658;34728;33078
5984;Schwein EPEC;Ho2;2;28384;29340;39872;22012;53495;44256;49740;48781;24941;26118;34606
5990;Schwein EPEC;Ho2;2;37402;39006;20379;21075;71345;37975;64443;62427;52868;55382;45937
5995;Schwein EPEC;Ho2;7;30267;21835;28233;29598;26787;25873;56707;61768;26091;26450;27510
5999;Schwein EPEC;Ho2;2;31377;30660;27087;30435;22450;23975;65017;55189;26908;28840;29638
6586;Rind Kommensale;Ho2;1;31857;29491;19554;20386;22705;21846;18710;19468;21486;22296;21666
6592;Rind Kommensale;Ho2;2;34816;36104;20941;21565;23054;22744;41329;29115;20079;19611;22899
6604;Rind Kommensale;Ho2;2;19522;21169;23136;27520;23445;23965;59345;62451;31983;32258;25743
7503;Rind EPEC;Ho2;1;18091;17216;28044;30228;23748;21397;21481;20855;23695;23292;22387
7504;Rind ETEC;Ho2;9;242;822;16194;22198;2518;140;5686;9151;19708;11537;7419
7505;Rind EPEC;Ho2;2;22041;21964;18982;18507;16475;20020;22576;22308;21628;21543;21586
7507;Rind EPEC;Ho2;1;25511;24689;22819;22688;24892;24612;28761;27916;28174;27450;25202
7508;Rind ETEC;Ho2;9;33219;33444;61070;64121;17736;16069;34881;47236;23396;22177;33332
7511;Rind ETEC;Ho2;9;3336;7566;7643;8470;5072;3709;21732;18764;8118;7512;7605
7514;Rind EPEC;Ho2;1;21483;20701;15101;14301;17117;16595;19903;21627;22016;21729;20302
7515;Rind ETEC;Ho2;9;4453;4931;5280;5944;6110;3182;12607;12792;16106;19376;6027
7516;Rind EPEC;Ho2;1;48692;40601;12322;12230;19358;13015;16560;16394;23205;22262;17959
7517;Rind ETEC;Ho2;9;31233;34099;30581;23507;27532;27752;54134;55541;21600;21769;29167
7522;Rind ETEC;Ho2;9;8527;14405;15366;16540;35924;49269;44055;42604;27703;24845;26274
7524;Rind EPEC;Ho2;2;24699;21315;26106;22650;19079;18036;38438;50424;33313;30482;25403
7525;Rind ETEC;Ho2;9;2506;13847;11953;9647;29254;34544;20451;19983;6243;6962;12900
7526;Rind ETEC;Ho2;9;13983;12924;10425;10097;9295;7972;17105;16394;1976;1557;10261
7528;Rind EPEC;Ho2;1;29311;18180;13213;13803;19891;20755;26745;22160;24287;22353;21458
7533;Rind EPEC;Ho2;2;18195;18603;20297;19537;17243;18452;17716;15913;29925;27998;18528
7534;Rind ETEC;Ho2;9;56290;36657;17954;19522;29330;31354;33046;30376;20384;16939;29853
7542;Schwein ETEC;Ho2;;61;64;31;36;64;59;9;9;4;9;34
7554;Schwein ETEC;Ho2;2;18311;29149;15457;9718;16032;17110;49274;28614;8911;12250;16571
7555;Rind EPEC;Ho2;15;13523;11692;22990;24820;14521;15888;51461;43391;31248;27669;23905
7551;Schwein ETEC;Ho2;1;34;36;84;56;12567;31047;9;4;9;2;35
91;Schwein Kommensale;Ho4;1;11690;13089;13790;13406;8951;9359;32964;42049;10253;10154;12390
4136;Schwein Kommensale;Ho4;4;21028;20364;20253;23737;24664;20498;57314;55348;20617;20921;20975
4310;Schwein Kommensale;Ho4;6;11;6;16;6;0;6;445;8772;140;1069;14
4315;Schwein Kommensale;Ho4;29;16887;11631;10061;8958;4668;5874;7797;19522;1483;4473;8378
4444;Schwein Kommensale;Ho4;;18163;25936;11502;7375;3826;3633;15435;21551;15071;12765;13918
4445;Schwein Kommensale;Ho4;2;93551;48162;9511;10192;14528;15252;42993;51256;11504;16429;15841
4732;Schwein Kommensale;Ho4;2;84627;43749;17672;18009;24528;25474;7920;21053;15636;19948;20501
5282;Mensch EPEC;Ho4;2;25879;20880;6080;9211;16166;16523;17328;16852;8837;8948;16345
