Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
2926,Serratia fonticola,Bo1,-,13,6,135,311,39,91,39
3053,Pantoea agglomerans,Bo1,-,825,357,331,465,61,79,318
3268,Proteus mirabilis,Bo1,-,65132,67172,21506,22953,17204,24555,23728
3279,MRSA,Bo1,-,34,21,31,31,49,16,31
3280,MRSA,Bo1,-,121,41,202,91,113,84,102
3281,MRSA,Bo1,-,41,36,138,56,46,49,48
3282,MRSA,Bo1,-,6,94,140,36,26,58,47
3283,MRSA,Bo1,-,316,197,2260,571,66,153,257
3284,MRSA,Bo1,-,856,611,259,232,693,1448,621
3285,MRSA,Bo1,-,178,170,916,614,193,212,171
3286,MRSA,Bo1,-,140,193,91,89,217,249,135
3287,MRSA,Bo1,-,103,94,138,66,46,49,49
3288,MRSA,Bo1,-,296,277,203,123,150,212,176
3312,Proteus mirabilis,Bo1,-,166218,161354,21276,20448,15512,12557,20836
3323,Proteus mirabilis,Bo1,-,130812,123570,23180,21484,14732,11616,22306
3341,Proteus mirabilis,Bo1,-,49696,135069,23428,23056,21818,15252,23216
3362,Proteus mirabilis,Bo1,-,83313,91939,26041,25496,6910,1971,25742
3365,Proteus mirabilis,Bo1,-,91619,95786,24830,28895,2937,4839,26836
4142,Serratia fonticola,Bo1,-,1223,13,222,525,108,145,157
4444,Schwein Kommensale,Bo1,-,21062,17974,7395,6298,3368,1951,6820
5203,Mensch ETEC,Bo1,-,0,4,4,4,9,9,4
5551,HFEC,Bo1,-,3640,3566,1292,1914,2697,2360,2502
5686,Mensch ETEC,Bo1,-,6,73,252,193,44,36,32
7537,Schwein ETEC,Bo1,-,0,0,4,4,4,4,4
7538,Schwein ETEC,Bo1,-,0,0,21,16,4,11,8
7539,Schwein ETEC,Bo1,-,0,0,4,2,0,0,0
7540,Schwein ETEC,Bo1,-,36,41,19,24,9,24,-8
7541,Schwein ETEC,Bo1,-,46,46,24,21,19,19,-9
7542,Schwein ETEC,Bo1,-,41,39,14,21,31,29,-2
7544,Schwein ETEC,Bo1,-,66,51,36,29,26,29,1
7545,Schwein ETEC,Bo1,-,6,6,143,148,56,41,22
7547,Schwein ETEC,Bo1,-,13,6,247,108,24,14,-8
7548,Schwein ETEC,Bo1,-,0,20,173,106,24,36,4
7568,Proteus mirabilis,Bo1,-,144333,144141,16456,19408,4225,6664,17906
7574,Proteus mirabilis,Bo1,-,58556,50863,17026,23416,20265,15378,21814
7596,Proteus mirabilis,Bo1,-,39340,38477,15525,16587,11140,9193,16030
7597,Proteus mirabilis,Bo1,-,48837,71908,19108,14244,5007,1951,16650
91,Schwein Kommensale,Bo2,1,13793,14702,10259,11190,9585,7051,10593
5547,HFEC,Bo2,1,3797,3393,1146,819,2548,4802,2918
5682,Mensch ETEC,Bo2,1,49,59,103,101,113,160,50
5689,Mensch ETEC,Bo2,1,64,44,123,133,140,160,76
5690,Mensch ETEC,Bo2,1,41,44,96,106,13209,13783,49
5691,Mensch ETEC,Bo2,1,115,118,346,371,234,213,92
